old,new,is_deleted,to_show
20211126_REU-HERMITAGE_AUV-1_01,,1,0
20211126_REU-HERMITAGE_AUV-1_02,,1,0
20211126_REU-HERMITAGE_AUV-1_03,20211126_REU-HERMITAGE_AUV-1_01,0,1
20211126_REU-HERMITAGE_AUV-1_04,20211126_REU-HERMITAGE_AUV-1_02,0,1
20211126_REU-HERMITAGE_AUV-1_05,20211126_REU-HERMITAGE_AUV-1_03,0,1
20211126_REU-HERMITAGE_AUV-1_06,20211126_REU-HERMITAGE_AUV-1_04,0,1
20211126_REU-HERMITAGE_AUV-1_07,20211126_REU-HERMITAGE_AUV-1_05,0,1
20211126_REU-HERMITAGE_AUV-1_08,20211126_REU-HERMITAGE_AUV-1_06,0,0
20211126_REU-HERMITAGE_AUV-1_09,,0,0
20211130_REU-HERMITAGE_AUV-1_01,20211130_REU-BOUCAN_AUV-1_01,0,0
20211130_REU-HERMITAGE_AUV-1_02,20211130_REU-BOUCAN_AUV-1_02,0,1
20211130_REU-HERMITAGE_AUV-1_03,20211130_REU-BOUCAN_AUV-1_03,0,1
20211130_REU-HERMITAGE_AUV-1_04,,1,0
20211130_REU-HERMITAGE_AUV-1_05,20211130_REU-BOUCAN_AUV-1_04,0,1
20211130_REU-HERMITAGE_AUV-1_06,20211130_REU-BOUCAN_AUV-1_05,0,1
20211130_REU-HERMITAGE_AUV-1_07,20211130_REU-BOUCAN_AUV-1_06,0,1
20211130_REU-HERMITAGE_AUV-1_08,20211130_REU-BOUCAN_AUV-1_07,0,1
20211130_REU-HERMITAGE_AUV-1_09,20211130_REU-BOUCAN_AUV-1_08,0,1
20211130_REU-HERMITAGE_AUV-1_10,,1,
20211130_REU-HERMITAGE_AUV-1_11,,1,
20211130_REU-HERMITAGE_AUV-1_12,,1,
20211201_REU-HERMITAGE_AUV-1_01,20211201_REU-HERMITAGE_AUV-1_01,0,1
20211201_REU-HERMITAGE_AUV-1_02,20211201_REU-HERMITAGE_AUV-1_02,0,1
20211201_REU-HERMITAGE_AUV-1_03,20211201_REU-HERMITAGE_AUV-1_03,0,1
20211201_REU-HERMITAGE_AUV-1_04,20211201_REU-HERMITAGE_AUV-1_04,0,1
20211201_REU-HERMITAGE_AUV-1_05,20211201_REU-HERMITAGE_AUV-1_05,0,1
20211201_REU-HERMITAGE_AUV-1_06,20211201_REU-HERMITAGE_AUV-1_06,0,1
20211201_REU-HERMITAGE_AUV-1_07,,1,
20211201_REU-HERMITAGE_AUV-1_08,,1,
20211201_REU-HERMITAGE_AUV-1_09,,1,
20211201_REU-HERMITAGE_AUV-1_10,,1,
20211201_REU-HERMITAGE_AUV-1_11,,1,
20211201_REU-HERMITAGE_AUV-1_12,,1,
20211201_REU-HERMITAGE_AUV-1_13,,1,
20211201_REU-HERMITAGE_AUV-1_14,,1,
20211201_REU-HERMITAGE_AUV-1_15,,1,
20211201_REU-HERMITAGE_AUV-1_16,,1,
20211201_REU-HERMITAGE_AUV-1_17,,1,
20211201_REU-HERMITAGE_AUV-1_18,,1,
20211201_REU-HERMITAGE_AUV-1_19,,1,
20211201_REU-HERMITAGE_AUV-1_20,,1,
20211201_REU-HERMITAGE_AUV-1_21,,1,